OID_, id,area,address,unit,civic_number,street,address_above_door,business_name,retailgroup,floor_area_sf,year_recorded
1,1,16th& Macdonald,3150 MACDONALD ST,N/A,3150,MACDONALD ST,3150 MACDONALD ST,I- Dentist Group,Service Commercial,1590,2022
2,2,16th& Macdonald,3160 MACDONALD ST,N/A,3160,MACDONALD ST,3160 MACDONALD ST,In Theory Hair Studio,Service Commercial,1590,2022
3,3,16th& Macdonald,3188 MACDONALD ST,N/A,3188,MACDONALD ST,3188 MACDONALD ST,Superless Cafe,Food & Beverage,1590,2022
4,4,16th& Macdonald,3190 MACDONALD ST,N/A,3190,MACDONALD ST,3190 MACDONALD ST,Starbucks,Food & Beverage,1590,2022
5,5,16th& Macdonald,3215 MACDONALD ST,N/A,3215,MACDONALD ST,3215 MACDONALD ST,RE/MAX Crest Realty,Service Commercial,3192,2022
6,6,16th& Macdonald,3250 MACDONALD ST,N/A,3250,MACDONALD ST,3250 MACDONALD ST,Chevron,Automotive Goods & Services,1500,2022
7,7,16th& Macdonald,2585 W 16TH AV,N/A,2585,W 16TH AV,2585 W 16TH AV,SpaHaven,Service Commercial,1500,2022
8,8,16th& Macdonald,2589 W 16TH AV,N/A,2589,W 16TH AV,2589 W 16TH AV,Arbutus Jeweller,Service Commercial,1000,2022
9,9,16th& Macdonald,2591 W 16TH AV,N/A,2591,W 16TH AV,2591 W 16TH AV,Arbutus Cleaners,Service Commercial,1500,2022
10,10,16th& Macdonald,2595 W 16TH AV,N/A,2595,W 16TH AV,2595 W 16TH AV,Insure B.C.,Service Commercial,1500,2022
11,11,16th& Macdonald,2599 W 16TH AV,N/A,2599,W 16TH AV,2599 W 16TH AV,Act II Boutique,Comparison Goods,1000,2022
12,12,16th& Macdonald,2603 W 16TH AV,N/A,2603,W 16TH AV,2603 W 16TH AV,Fiore Famiglia,Food & Beverage,2500,2022
13,13,16th& Macdonald,2607 W 16TH AV,N/A,2607,W 16TH AV,2607 W 16TH AV,Vacant,Vacant,1500,2022
14,14,16th& Macdonald,2611 W 16TH AV,N/A,2611,W 16TH AV,2611 W 16TH AV,Sweet Obsession,Food & Beverage,2000,2022
15,15,16th& Macdonald,2627 W 16TH AV,N/A,2627,W 16TH AV,2627 W 16TH AV,Choices Market,Convenience Goods,15500,2022
16,16,16th& Macdonald,2775 W 16TH AV,N/A,2775,W 16TH AV,2775 W 16TH AV,Yuwa Japanese Cuisine,Food & Beverage,1500,2022
17,17,16th& Macdonald,2785 W 16TH AV,N/A,2785,W 16TH AV,2785 W 16TH AV,La Glace,Convenience Goods,1500,2022
18,18,16th& Macdonald,2801 W 16TH AV,1,2801,W 16TH AV,2801 W 16TH AV,Subway,Food & Beverage,1523,2022
19,19,16th& Macdonald,2801 W 16TH AV,2,2801,W 16TH AV,2801 W 16TH AV,Jeon Eui Taekwondo,Entertainment and Leisure,1523,2022
106,134,4th and MacDonald,2001 MACDONALD ST,N/A,2001,MACDONALD ST,2001 MACDONALD ST,Darby's,Food & Beverage,5760,2022
107,135,4th and MacDonald,2001 MACDONALD ST,N/A,2001,MACDONALD ST,2001 MACDONALD ST,Darby's Beer & Wine,Convenience Goods,396,2022
108,136,4th and MacDonald,2026 STEPHENS ST,N/A,2026,STEPHENS ST,2026 STEPHENS ST,Shapes Brow and Wax Bar,Service Commercial,1000,2022
109,137,4th and MacDonald,2028 STEPHENS ST,N/A,2028,STEPHENS ST,2028 STEPHENS ST,Emme Hair,Service Commercial,1300,2022
110,138,4th and MacDonald,2035 STEPHENS ST,N/A,2035,STEPHENS ST,2035 STEPHENS ST,Synergy Massage,Service Commercial,551,2022
111,139,4th and MacDonald,2041 STEPHENS ST,N/A,2041,STEPHENS ST,2041 STEPHENS ST,La Jolie Spa,Service Commercial,1218,2022
