point;polygon
(-123.14981916780552, 49.27268602461876);((-123.15002674354285, 49.27277011314338), (-123.15003312742432, 49.2726086411213), (-123.14961157891746, 49.272601901612816), (-123.14960530390978, 49.2727634634223), (-123.15002674354285, 49.27277011314338))
(-123.18232622013701, 49.268318492751575);((-123.18226213066607, 49.26817658032629), (-123.18225215733074, 49.26845814591315), (-123.18225215766208, 49.26845823586464), (-123.18239031287166, 49.26846044656809), (-123.18240027101221, 49.26817870108901), (-123.18226213066607, 49.26817658032629))
(-123.1833630398489, 49.268321296539);((-123.18321920354094, 49.268473815326516), (-123.18349550042652, 49.268478243272334), (-123.1835069989899, 49.26816878102834), (-123.18350672407362, 49.268168781464965), (-123.18323042928168, 49.26816445249036), (-123.18321920354094, 49.268473815326516))
(-123.1839837376094, 49.268394099297595);((-123.1841892093939, 49.26849046140067), (-123.18419450960624, 49.26830429722421), (-123.18419400097622, 49.268304289039854), (-123.18377909646651, 49.268297627621536), (-123.18377214508324, 49.2684837674191), (-123.1841892093939, 49.26849046140067))
(-123.18403436841272, 49.268860945244235);((-123.1843162727356, 49.26871064124488), (-123.18376367631377, 49.268701797616615), (-123.18375245412875, 49.26901125042333), (-123.1843050677511, 49.26902009407878), (-123.18431627340578, 49.26871082114787), (-123.1843162727356, 49.26871064124488))
(-123.18439961731059, 49.268352380423636);((-123.18446322057484, 49.26849380225654), (-123.1844741320429, 49.26821283765627), (-123.18433583994677, 49.268210620667816), (-123.18432544024645, 49.26849264587233), (-123.18446322057484, 49.26849380225654))
(-123.18451808756963, 49.26886863466641);((-123.1843162727356, 49.26871064124488), (-123.18431627340578, 49.26871082114787), (-123.1843050677511, 49.26902009407878), (-123.1847195105491, 49.26902662841536), (-123.18473141465874, 49.268717354326846), (-123.18473141398705, 49.26871717442387), (-123.1843162727356, 49.26871064124488))
(-123.184538004029, 49.2683547986773);((-123.1846020810436, 49.26849708861382), (-123.18461242415097, 49.268215054479214), (-123.1844741320429, 49.26821283765627), (-123.18446322057484, 49.26849380225654), (-123.1846020810436, 49.26849708861382))
(-123.18481471204937, 49.26835940721339);((-123.18487872188858, 49.268501530692916), (-123.18488900843656, 49.26821949662361), (-123.18475071630458, 49.26821728013175), (-123.1847404014433, 49.2684993052386), (-123.18487872188858, 49.268501530692916))
(-123.18481471204937, 49.26835940721339);((-123.18487872188858, 49.268501530692916), (-123.18488900843656, 49.26821949662361), (-123.18475071630458, 49.26821728013175), (-123.1847404014433, 49.2684993052386), (-123.18487872188858, 49.268501530692916))
(-123.18507120127674, 49.268877426184055);((-123.1850077261029, 49.2687215987296), (-123.18500772711195, 49.26872186858405), (-123.18499651169486, 49.26903105164683), (-123.18513466861747, 49.26903325906656), (-123.18514588246478, 49.268723887093415), (-123.18514588212817, 49.268723797141924), (-123.1850077261029, 49.2687215987296))
(-123.18507120127674, 49.268877426184055);((-123.1850077261029, 49.2687215987296), (-123.18500772711195, 49.26872186858405), (-123.18499651169486, 49.26903105164683), (-123.18513466861747, 49.26903325906656), (-123.18514588246478, 49.268723887093415), (-123.18514588212817, 49.268723797141924), (-123.1850077261029, 49.2687215987296))
(-123.18507120127674, 49.268877426184055);((-123.1850077261029, 49.2687215987296), (-123.18500772711195, 49.26872186858405), (-123.18499651169486, 49.26903105164683), (-123.18513466861747, 49.26903325906656), (-123.18514588246478, 49.268723887093415), (-123.18514588212817, 49.268723797141924), (-123.1850077261029, 49.2687215987296))
(-123.18520935501074, 49.2688796299214);((-123.18514588212817, 49.268723797141924), (-123.18514588246478, 49.268723887093415), (-123.18513466861747, 49.26903325906656), (-123.18527283926429, 49.269035457303886), (-123.18527283892746, 49.26903536735241), (-123.18528403819894, 49.26872600438418), (-123.18514588212817, 49.268723797141924))
(-123.1853475211078, 49.268881828076594);((-123.18528403819894, 49.26872600438418), (-123.18527283892746, 49.26903536735241), (-123.18527283926429, 49.269035457303886), (-123.1854109962106, 49.269037664393196), (-123.18542220870175, 49.26872839134215), (-123.18542220802755, 49.268728211439175), (-123.18528403819894, 49.26872600438418))
(-123.18548276152688, 49.25759875841478);((-123.18567122700891, 49.257451117618984), (-123.18553377579526, 49.25744890971641), (-123.18529737011517, 49.257445241255965), (-123.18529436158053, 49.25774658595177), (-123.18553008087945, 49.25775007561658), (-123.18566820599497, 49.25775219248861), (-123.18567122700891, 49.257451117618984))
(-123.1846858158127, 49.25758668797599);((-123.18443698747875, 49.2574322255795), (-123.18443466182434, 49.257733830022715), (-123.18493424776655, 49.257741316037006), (-123.18493725681294, 49.25743952158936), (-123.18443698747875, 49.2574322255795))
(-123.18548276152688, 49.25759875841478);((-123.18567122700891, 49.257451117618984), (-123.18553377579526, 49.25744890971641), (-123.18529737011517, 49.257445241255965), (-123.18529436158053, 49.25774658595177), (-123.18553008087945, 49.25775007561658), (-123.18566820599497, 49.25775219248861), (-123.18567122700891, 49.257451117618984))
(-123.18548276152688, 49.25759875841478);((-123.18567122700891, 49.257451117618984), (-123.18553377579526, 49.25744890971641), (-123.18529737011517, 49.257445241255965), (-123.18529436158053, 49.25774658595177), (-123.18553008087945, 49.25775007561658), (-123.18566820599497, 49.25775219248861), (-123.18567122700891, 49.257451117618984))
(-123.18548276152688, 49.25759875841478);((-123.18567122700891, 49.257451117618984), (-123.18553377579526, 49.25744890971641), (-123.18529737011517, 49.257445241255965), (-123.18529436158053, 49.25774658595177), (-123.18553008087945, 49.25775007561658), (-123.18566820599497, 49.25775219248861), (-123.18567122700891, 49.257451117618984))
